"Segment"	"en-ZZ"	"nl-NL"	"ID"	"File"
"3465"	"Select"	"Kiezen"	"q2CMA137_question_q1B0_5c9d216470acd3.72235825_0"	"PISA_nld-NLD_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4598"	"A"	"Z"	"MA154_stimulus3_img2Lbl3_5c9d21655aa3a4.29260706_0"	"PISA_nld-NLD_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4468"	"&lt;br /&gt;"	"&lt;br/&gt;"	"MA153_stimulus3_dialogMsgText3_5c9d2137421f31.87467392_3_0"	"PISA_nld-NLD_MAT_MA153-Gears_en21_MS2022.xlf"
"2094"	"&lt;br /&gt;"	"&lt;br/&gt;"	"MA125_question3_q3itemTitle_5c9d21370cb2c0.94343301_1_0"	"PISA_nld-NLD_MAT_MA125-PaintingARoom_en21_MS2022.xlf"
"501"	"&lt;br /&gt;"	"&lt;br/&gt;"	"q00body_itemTitle00_5c9d2136ada327.30310442_1_0"	"PISA_nld-NLD_MAT_MA107-FieldOfVision_en21_MS2022.xlf"
"932"	"&lt;br /&gt;"	"&lt;br/&gt;"	"MA112_question03_q03itemTitle_5c9d2136e60f00.09432576_1_0"	"PISA_nld-NLD_MAT_MA112-Metabolism_en21_MS2022.xlf"
"5190"	"Click on a choice and then type an explanation to answer the question."	"Beantwoord de vraag door één van de opties aan te klikken en typ vervolgens je uitleg."	"q4MA161_question_q4itemDirections_5c9d2137a76b55.99656517_2_0"	"PISA_nld-NLD_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"549"	"&lt;br /&gt;"	"&lt;br/&gt;"	"MA108_stimulus_dialogMsgText2_5c9d2136bdb079.98709013_2_0"	"PISA_nld-NLD_MAT_MA108-Fountains_en21_MS2022.xlf"
"3206"	"Select"	"Kiezen"	"Q1MA134_question_Q01tr4td1SELECT1o0_5c9d2164319403.08217963_0"	"PISA_nld-NLD_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"553"	"&lt;br /&gt;"	"&lt;br/&gt;"	"MA108_stimulus_dialogMsgText3_5c9d2136bdb265.12513995_3_0"	"PISA_nld-NLD_MAT_MA108-Fountains_en21_MS2022.xlf"
"5185"	"&lt;br /&gt;"	"&lt;br/&gt;"	"q4MA161_question_q4itemTitle_5c9d2137a767b5.93634600_1_0"	"PISA_nld-NLD_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3194"	"Select"	"Kiezen"	"Q1MA134_question_Q01tr2td1SELECT1o0_5c9d2164318406.38896392_0"	"PISA_nld-NLD_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"5301"	"&lt;br /&gt;"	"&lt;br/&gt;"	"q0bMA162_question_q0bitemTitle_5c9d2137ceaaf2.78071403_1_0"	"PISA_nld-NLD_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"684"	"&lt;br /&gt;"	"&lt;br/&gt;"	"M109_question02_itemTitleQ02_5c9d2136d6b677.20752747_1_0"	"PISA_nld-NLD_MAT_MA109-HeadacheMedicine_en21_MS2022.xlf"
"58"	"&lt;br /&gt;"	"&lt;br/&gt;"	"MA101_question3_itemTitle3_5c9d21361d9f31.64443245_1_0"	"PISA_nld-NLD_MAT_MA101-BuildingBlocks_en21_MS2022.xlf"
"4577"	"D"	"P"	"MA154_stimulus1_img1aLbl2_5c9d2165588ab8.21634755_0"	"PISA_nld-NLD_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"398"	"&lt;br /&gt;"	"&lt;br/&gt;"	"M105_question3_itemTitle3_5c9d2136724699.37186231_1_0"	"PISA_nld-NLD_MAT_MA105-CleanEnergy_en21_MS2022.xlf"
"4897"	"&lt;br /&gt;"	"&lt;br/&gt;"	"q1MA160_question_q1itemTitle_5c9d21377c3050.22078519_1_0"	"PISA_nld-NLD_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4870"	"&lt;br /&gt;"	"&lt;br/&gt;"	"q0bMA160_question_q0bitemTitle_5c9d2137791192.75947696_1_0"	"PISA_nld-NLD_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4627"	"Click on a choice and then type an explanation to answer the question."	"Beantwoord de vraag door één van de opties aan te klikken en typ vervolgens je uitleg."	"q3MA154_question_q3itemDirections_5c9d21655e7133.54272172_1_0"	"PISA_nld-NLD_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3475"	"Select"	"Kiezen"	"q2CMA137_question_q1D0_5c9d216470c463.55070529_0"	"PISA_nld-NLD_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"186"	"&lt;br /&gt;"	"&lt;br/&gt;"	"MA103_question1_q1itemTitle_5c9d21363dbf19.82970352_1_0"	"PISA_nld-NLD_MAT_MA103-CalculationProgram_en21_MS2022.xlf"
"3372"	"Click on a choice and then type an explanation to answer the question."	"Beantwoord de vraag door één van de opties aan te klikken en typ vervolgens je uitleg."	"MA136_question02_q2itemDirections_5c9d216461f9f0.70778441_1_0"	"PISA_nld-NLD_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"109"	"&lt;br /&gt;"	"&lt;br/&gt;"	"M102_question1_itemTitle1_5c9d21362beaf0.90428856_1_0"	"PISA_nld-NLD_MAT_MA102-BuyingAWardrobe_en21_MS2022.xlf"
"5060"	"&lt;br /&gt;"	"&lt;br/&gt;"	"q0cMA161_question_q0citemTitle_5c9d21379f11d3.55973809_1_0"	"PISA_nld-NLD_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"528"	"&lt;br /&gt;"	"&lt;br/&gt;"	"MA107Q03_question_q03itemTitle_5c9d2136b18321.43085458_1_0"	"PISA_nld-NLD_MAT_MA107-FieldOfVision_en21_MS2022.xlf"
"5328"	"&lt;br /&gt;"	"&lt;br/&gt;"	"q1MA162_question_q1itemTitle_5c9d2137d168e9.14306849_1_0"	"PISA_nld-NLD_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"4889"	"&lt;br /&gt;"	"&lt;br/&gt;"	"q0cMA160_question_q0citemTitle_5c9d21377a9c55.29816234_1_0"	"PISA_nld-NLD_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"5393"	"&lt;br /&gt;"	"&lt;br/&gt;"	"q3MA160_question_q3itemTitle_5c9d2137d54576.40577365_1_0"	"PISA_nld-NLD_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"5320"	"&lt;br /&gt;"	"&lt;br/&gt;"	"q0cMA162_question_q0citemTitle_5c9d2137d02a65.43220195_1_0"	"PISA_nld-NLD_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"47"	"&lt;br /&gt;"	"&lt;br/&gt;"	"M101_question02_itemTitleQ02_5c9d21361bf4e0.91943681_1_0"	"PISA_nld-NLD_MAT_MA101-BuildingBlocks_en21_MS2022.xlf"
"2480"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Klik op &lt;b&gt;Goed&lt;/b&gt; of &lt;b&gt;Fout&lt;/b&gt; bij elke bewering."	"MA128q04_question_q4p1_5c9d21372dc083.05811723_1_0"	"PISA_nld-NLD_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"5075"	"Statement"	"Vraag"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_nld-NLD_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"508"	"&lt;br /&gt;"	"&lt;br/&gt;"	"MA107Q01_question_q01itemTitle_5c9d2136af0793.21505544_1_0"	"PISA_nld-NLD_MAT_MA107-FieldOfVision_en21_MS2022.xlf"
"4011"	"Click on a choice and then type an explanation to answer the question."	"Beantwoord de vraag door één van de opties aan te klikken en typ vervolgens je uitleg."	"MA146q3_question_q3itemDirections_5c9d2164ee45c4.14040171_1_0"	"PISA_nld-NLD_MAT_MA146-Fuel_en21_MS2022.xlf"
"4580"	"D"	"P"	"MA154_stimulus1_img1bLbl2_5c9d2165588dd1.17990179_0"	"PISA_nld-NLD_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Volg deze stappen om de calculator te gebruiken:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_nld-NLD_MAT_MA112-Metabolism_en21_MS2022.xlf"
"318"	"&lt;br /&gt;"	"&lt;br/&gt;"	"M105_stimulus4_title4_5c9d21366d8579.12237563_1_0"	"PISA_nld-NLD_MAT_MA105-CleanEnergy_en21_MS2022.xlf"
"2402"	"&lt;br /&gt;"	"&lt;br/&gt;"	"MA128_stimulus3_dialogMsgText3_5c9d2137255c05.51672571_3_0"	"PISA_nld-NLD_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"552"	"&lt;br /&gt;"	"&lt;br/&gt;"	"MA108_stimulus_dialogMsgText3_5c9d2136bdb265.12513995_2_0"	"PISA_nld-NLD_MAT_MA108-Fountains_en21_MS2022.xlf"
"5289"	"&lt;br /&gt;"	"&lt;br/&gt;"	"q00body_itemTitle00_5c9d2137cd6385.23621052_1_0"	"PISA_nld-NLD_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"888"	"&lt;br /&gt;"	"&lt;br/&gt;"	"q00body_itemTitle00_5c9d2136e262e2.00484369_1_0"	"PISA_nld-NLD_MAT_MA112-Metabolism_en21_MS2022.xlf"
